Date,CyclonesinIndia,WesternHemisphereWarmPool,OceanNinoIndex,ElNinoPrecipitationIndex,BivariateENSO,NorthAtlanticOscillation,AtlanticSST,EastAsia,AMO,AtlanticHurricaneDays,AntarcticOscillation,Rain,MeanTemp,Methane,Cdioxide,NOX,maxTemp,minTemp,OceanHeat,tsr,msl,Region1,Region2,Region3,Region4,Region5
11/30/1948,0,-1.78,-0.89,,-0.21,-99.9,0.72,,0.124,0.75,,9.63,21.03,,,,27.72,14.38,,,,56.22222222,78.4,84.85,123.6543873,165.55
12/31/1948,3,-0.28,-1.7,,0.58,-99.9,-0.93,,0.125,0,,1.64,17.3,,,,24.26,10.39,,,,15.57777778,7.73,4.72,58.39438726,0.1
1/31/1949,11,-0.13,-2.01,,0.18,-99.9,-0.2,,0.125,0,,11.62,18.07,,,,25.08,11.1,,,,13.88888889,6.06,5.15,22.64,1.75
2/28/1949,1,-0.13,-3.6,,0.13,-99.9,-0.47,,0.123,0,,16.91,19.24,,,,26.43,12.09,,,,36.23333333,22.63,19.93,38.98,0
3/31/1949,0,-0.29,-1,,-0.55,-99.9,-1.13,,0.121,0,,22.91,24.25,,,,31.61,16.93,,,,15.96666667,9.94,16.57,76.4,0.65
4/30/1949,12,0.53,-0.53,,0.15,-99.9,-1.22,,0.118,0,,14.55,28.09,,,,35.1,21.13,,,,17.26666667,16.81,62.61,270.86,6.65
5/31/1949,1,-0.66,-1.07,,0.43,-99.9,-1.88,,0.116,0,,41.61,30.19,,,,36.73,23.7,,,,36.2,50.08,136.09,420.16,211
6/30/1949,0,-0.6,-0.7,,0,-99.9,-1.55,,0.114,0,,130.56,29.11,,,,34.38,23.89,,,,47.8,99.14,214.73,696.58,566.9
7/31/1949,0,-1.04,-0.56,,-0.06,-99.9,-0.19,,0.111,0,,305.96,26.97,,,,30.97,23.01,,,,201.8444444,288.5,384.43,718.64,1152.2
8/31/1949,1,-2.09,-1.3,,0.08,-99.9,0.77,,0.108,8,,227.82,26.58,,,,30.3,22.92,,,,132.3555556,207.24,316.96,514,590.05
9/30/1949,1,-0.81,-0.93,,-0.42,-99.9,0.89,,0.104,8.75,,179.61,26.42,,,,30.91,21.98,,,,110.5666667,218.48,278.26,450.48,610.15
10/31/1949,0,-1.77,-1.41,,-0.59,-99.9,0.8,,0.1,4.25,,51.77,24.81,,,,30.68,18.99,,,,44.88888889,94.1,114.83,250.66,128.55
11/30/1949,0,-1.03,-0.83,,-0.29,-99.9,0.16,,0.097,0,,23.84,19.9,,,,26.66,13.19,,,,17.94444444,5.16,13.96610641,41.14,20.2
12/31/1949,1,-0.32,-0.8,,-0.91,-99.9,0.46,,0.094,0,,6.11,17.16,,,,24.2,10.16,,,,5.177777778,1.5,1.73,15.02,0
1/31/1950,13,-0.17,-2.13,,-0.74,0.56,0.53,2.29,0.093,0,,8.75,17.7,,,,24.76,10.68,,,,52.04444444,25.06,9.93,12.2,0
2/28/1950,0,-0.3,-2.91,,-1.7,0.01,-1.07,-0.57,0.091,0,,4.64,18.44,,,,25.62,11.3,,,,23.86666667,16.38,26.83,43.46,0.5
3/31/1950,3,-0.96,-1.13,,-1.43,-0.78,-1.26,-1.8,0.088,0,,27.2,23.03,,,,30.45,15.65,,,,25.63333333,25.19,40.29,71.66,0.2
4/30/1950,16,-1.93,-1.2,,-1.29,0.65,0.72,-2.5,0.086,0,,36.65,27.39,,,,34.55,20.29,,,,15.95555556,7.41,18.81,150.1,2.05
5/31/1950,4,-2.27,-2.23,,-1.22,-0.5,1.05,1.41,0.084,0,,51.09,30.36,,,,37,23.76,,,,24.82222222,28.15,61.71,254.58,55.3
6/30/1950,0,-2.23,-1.77,,-1.69,0.25,0.28,1.27,0.083,0,,144.72,29.44,,,,34.68,24.25,,,,28.84444444,99.67,210.66,513.2758726,582.85
7/31/1950,0,-2.12,-2.93,,-1.69,-1.23,0.21,3.01,0.084,0,,268.05,26.72,,,,30.71,22.78,,,,182.3888889,320.48,410.71,522.08,1421.4
8/31/1950,4,-2.62,-0.7,,-0.96,-0.19,1.21,0.52,0.085,16,,220.8,26.41,,,,30.14,22.73,,,,142.6444444,186.73,349.49,421.44,379.35
9/30/1950,0,-0.52,-2.14,,-0.95,0.39,1.26,-0.32,0.086,24.25,,134.09,25.92,,,,30.45,21.43,,,,173.3222222,218.34,170.88,351.76,747
10/31/1950,0,-2.14,-1.36,,-1.27,1.43,1.27,0.04,0.087,12.75,,70.58,24.31,,,,30.14,18.52,,,,42.81111111,42.35,50.84,219.32,127.85
11/30/1950,0,-0.82,-2.46,,-1.12,-1.46,1.87,-1.72,0.089,0,,30.59,19.97,,,,26.62,13.38,,,,16.58888889,18.74,39.92,67.62,31.1
12/31/1950,0,-0.32,-0.76,,-1.61,-1.03,3.03,-2.31,0.09,0,,3,16.99,,,,23.96,10.06,,,,6.311111111,3.85,17.01,45.26,0.05
1/31/1951,11,-0.17,-1.54,,-1.13,-0.42,2.14,-0.74,0.09,0,,6.24,16.74,,,,23.78,9.74,,,,18.62222222,15.08,12.32,25.4,0
2/28/1951,3,-0.3,-1.06,,-0.69,0.35,0.94,-1.66,0.089,0,,13.16,19.14,,,,26.42,11.9,,,,12.56666667,8.18,9.65,16.56,0
3/31/1951,1,-0.93,-1.9,,-0.24,-1.47,2.29,0.11,0.087,0,,20.35,23.9,,,,31.27,16.57,,,,33.01111111,22.51,53.99,85.54,1.7
4/30/1951,15,-0.7,-0.36,,0.33,-0.38,3.63,-2.31,0.087,0,,34.11,26.74,,,,33.86,19.67,,,,33.66666667,25.48,68.65,194.9,32.6
5/31/1951,2,-0.93,-0.25,,0.71,-0.5,3.7,0.93,0.086,6.5,,53.99,29.95,,,,36.59,23.36,,,,42.18888889,40.69,60.33,248.44,46.7
6/30/1951,2,-0.56,-1.09,,0.19,-1.35,3.85,1.91,0.083,0,,150.77,29.28,,,,34.55,24.06,,,,42.92222222,108.69,205.32,657.42,835.3
7/31/1951,0,-0.07,0.7,,1.33,1.39,2.87,-0.86,0.083,0,,243.83,27.62,,,,31.62,23.66,,,,116.9888889,234.88,321.77,618.68,1099.05
8/31/1951,4,2.23,-1.37,,1.01,-0.41,0.98,-3.26,0.084,7,,217.29,26.64,,,,30.39,22.95,,,,117.6666667,174.53,312.99,292.3,474.35
9/30/1951,1,1.5,-0.08,,1.1,-1.18,-0.04,-0.26,0.084,15.5,,110.09,26.82,,,,31.33,22.35,,,,67.83333333,105.01,169.97,318.84,198.95
10/31/1951,1,1.55,-0.32,,1.15,2.54,-0.97,0.59,0.084,4.25,,73.53,26.2,,,,32.07,20.39,,,,33.75555556,53.47,99.06,253.98,241.7
11/30/1951,0,1.09,-0.28,,0.91,-0.54,-1.19,0.48,0.084,0,,6.83,21.77,,,,28.46,15.13,,,,41.98888889,23.4,29.09,113.78,56.25
12/31/1951,2,0.01,-1.68,,0.83,1.13,-2.02,0.04,0.084,1,,18.77,17.96,,,,24.95,11.02,,,,5.022222222,1.38,6.86,100.58,0.2
1/31/1952,14,-0.07,-2.01,,0.64,0.57,-2.89,-1.07,0.084,0,,18.73,17.99,,,,25.07,10.95,,,,15.15555556,9.2,7.78,5.62,0
2/28/1952,1,-0.26,-0.46,,0.57,-1.38,-1.44,-1.46,0.085,0,,6.98,20.75,,,,28.02,13.53,,,,24.03333333,17.44,16.67,21.22,0.25
3/31/1952,2,-0.31,-0.63,,0.07,-1.97,0.92,0.16,0.085,0,,12.25,23.51,,,,30.89,16.18,,,,31.06666667,25.97,33.06,93.68,0
4/30/1952,17,0.35,-1.05,,0.71,0.95,1.13,0.12,0.086,0,,34.47,28.5,,,,35.57,21.49,,,,13.65555556,15.8,46.22,125.44,19.1
5/31/1952,4,0.24,-1,,-0.5,-0.99,2.09,0.24,0.085,0,,36.91,30.53,,,,37.12,24,,,,48.03333333,37.78,74.18,357.8,54.15
6/30/1952,0,0.85,-1.43,,-0.74,-0.1,3.27,-0.4,0.086,0,,168.38,29.5,,,,34.78,24.27,,,,70.71111111,141.3,217.11,498.34,820.75
7/31/1952,0,-0.16,-1.25,,-0.54,-0.06,2.36,-1.26,0.088,0,,282.28,27.21,,,,31.19,23.28,,,,148.4777778,234.54,363.49,484.6,914.85
8/31/1952,4,2.42,-0.6,,-0.12,-0.49,2.04,-0.95,0.091,1.75,,266.97,26.21,,,,29.94,22.53,,,,169.3222222,203.38,325.32,485.3,571.85
9/30/1952,2,2.44,-0.89,,-0.03,-0.38,2.24,-1.68,0.094,8.75,,165.99,26.49,,,,30.97,22.06,,,,26.77777778,98.21,177.9,319.5,71.1
10/31/1952,0,1.73,-0.35,,-0.06,-0.28,2.08,-0.42,0.095,5,,87.85,25.03,,,,30.89,19.22,,,,42.16666667,65.65,113.98,267.8,243.5
11/30/1952,0,1.05,-0.76,,-0.02,-1.32,2.25,-1.55,0.097,0,,10.03,20.6,,,,27.26,13.99,,,,7.977777778,0.71,9.81,88.98,0
12/31/1952,2,-0.05,0.04,,0.41,-0.49,3.63,-0.26,0.097,0,,2.94,18.32,,,,25.34,11.36,,,,45.02222222,14.33,4.68,38.32,13.7
1/31/1953,9,-0.17,-0.57,,0.18,-0.12,3.16,0.84,0.097,0,,15.64,17.1,,,,24.11,10.13,,,,31.73333333,27.65,30.06,34.34,0.15
2/28/1953,0,-0.12,-0.07,,0.5,-1,2.8,-0.25,0.099,0,,20.8,20.92,,,,28.15,13.73,,,,7.422222222,6.52,11.41,43.76,0
3/31/1953,1,0.57,-1.12,,0.5,-0.45,1.32,1.73,0.102,0,,13.94,25.94,,,,33.16,18.76,,,,11.53333333,11.24,13.19,118,0
4/30/1953,10,1.58,0.05,,0.81,-1.96,2.12,-1.66,0.104,0,,24.57,28.43,,,,35.55,21.36,,,,32.45555556,26.72,24.77,145.72,31.8
5/31/1953,1,0.09,0.43,,1.78,-0.56,2.34,0.09,0.107,0,,46.28,30.87,,,,37.47,24.32,,,,13.66666667,17.27,66.32,248.46,4.3
6/30/1953,0,0.48,0.29,,0.62,1.41,1.45,-0.71,0.108,0,,155.42,30.05,,,,35.32,24.82,,,,66.03333333,158.52,205.97,426.7,788.25
7/31/1953,0,0.25,0.74,,0.36,0.43,1.45,-0.71,0.109,0,,283.66,27.15,,,,31.13,23.21,,,,192.3888889,287.79,406.07,640.32,1476
8/31/1953,1,1.56,0.05,,0.9,-1.04,1.52,-1.41,0.111,2.75,,244.05,26.38,,,,30.13,22.68,,,,180.6444444,286.98,368.97,292.9,673.45
9/30/1953,1,1.3,-0.63,,1.19,-0.19,1.52,0.58,0.113,13.75,,214.5,26.3,,,,30.8,21.85,,,,97.28888889,173.18,216.96,382.52,185.25
10/31/1953,0,0.47,-1.09,,0.16,1.95,0.35,0,0.115,2.5,,71.24,24.7,,,,30.6,18.84,,,,98.97777778,95.9,87.35,230.4958726,234.75
11/30/1953,0,1.21,-0.03,,0.37,0.96,0.69,0.16,0.116,0,,2.59,20.63,,,,27.39,13.92,,,,16.57777778,3.01,23.07,64.96,1.55
12/31/1953,1,-0.1,0.07,,0.41,-0.52,0.82,0.73,0.117,0,,13.11,18.75,,,,25.74,11.81,,,,10.18888889,6.75,5.41,21.8,0
1/31/1954,10,-0.13,-1.32,,0,-0.08,0.97,0.52,0.117,0,,16.21,16.68,,,,23.74,9.67,,,,54.95555556,25.39,26.2,78.73587262,0.25
2/28/1954,2,-0.29,-1.61,,0.4,0.4,0.82,0.03,0.117,0,,4.6,20.57,,,,27.81,13.38,,,,57.62222222,33.48,25.55,61.89587262,1.2
3/31/1954,2,-0.77,-0.52,,0.17,-1.27,-0.17,0.48,0.115,0,,18.3,24.19,,,,31.71,16.72,,,,20.26666667,16.26,11.54,84.83587262,12.55
4/30/1954,14,-1.49,-1.33,,-0.31,1.31,-0.44,-0.29,0.115,0,,32.9,28.68,,,,35.79,21.62,,,,11.05555556,7.6,26.35,156.1358726,34.15
5/31/1954,1,-1.29,0.01,,-0.34,-0.03,1.68,-2.13,0.114,0,,59.46,31.07,,,,37.68,24.52,,,,26.67777778,29.71,62.73,324.4158726,46.85
6/30/1954,0,-1.71,0.97,,-0.44,0.06,1.2,0.58,0.114,1,,156.51,29.56,,,,34.76,24.4,,,,39.02222222,114.99,204.02,604.4358726,807.95
7/31/1954,0,-1.74,0.43,,-0.81,-0.57,0.39,-1.5,0.113,0,,236.2,27.09,,,,31.05,23.17,,,,164.8444444,301.97,327.94,586.7358726,1414.1
8/31/1954,1,-0.79,0.08,,-1.16,-2.57,-0.86,0.29,0.113,4,,308.02,26.72,,,,30.43,23.06,,,,117.6666667,213.39,319.25,448.9158726,800.75
9/30/1954,0,-0.7,-0.94,,-0.68,-0.28,-1.25,-1.04,0.113,5.75,,214.49,25.96,,,,30.45,21.51,,,,137.8333333,246.64,301.31,336.7358726,586.25
10/31/1954,0,-3.83,0.52,,-0.57,1.16,-1.69,0.34,0.113,14.75,,118.71,23.49,,,,29.38,17.64,,,,84.16666667,66.45,94.91,208.0158726,91.25
11/30/1954,0,-1.95,0.72,,-0.67,0.29,-1.6,-0.51,0.113,0,,24.99,20.25,,,,27.05,13.49,,,,5.611111111,0.88,4.32,73.55587262,0.35
12/31/1954,0,-0.25,-0.5,,-0.96,0.55,-1.07,-0.58,0.113,0.5,,9.22,17.76,,,,24.67,10.9,,,,23.8,8.18,10.08,92.77587262,10.35
1/31/1955,13,-0.17,0.2,,-0.01,-2.65,0.63,-0.79,0.113,2,,12.3,17.4,,,,24.1,10.75,-2,,,23.54444444,24.59,27.72,64.79587262,0.25
2/28/1955,0,-0.3,-1.52,,-1.14,-1.71,1.62,-1.69,0.114,0,,7.73,20.08,,,,27.58,12.62,-2,,,3.388888889,6.24,7.8,59.09587262,0
3/31/1955,0,-0.87,-1.26,,-0.58,-0.96,1.03,0.25,0.115,0,,19.99,25.05,,,,32.49,17.66,-2,,,20.96666667,18.68,24.66,92.97587262,3.45
4/30/1955,13,-2.21,-1.97,,-0.4,-0.6,1.95,-0.01,0.117,0,,29.93,26.92,,,,34.18,19.71,-2,,,25.13333333,19.05,44.39,145.0158726,20.75
5/31/1955,6,-1.76,-1.21,,-1.3,-0.26,1.61,0.92,0.12,0,,69.29,29.57,,,,35.94,23.25,-2,,,59.32222222,63.8,71.72,401.1558726,197.25
6/30/1955,0,-1.89,-2.44,,-1.49,-0.8,2.14,1.43,0.124,0,,203,29.4,,,,34.51,24.34,-2,,,54.54444444,152.17,241.44,553.9358726,870.95
7/31/1955,0,-1.96,-2.35,,-1.72,1.78,2.7,0.55,0.126,0,,323.71,27.1,,,,31.07,23.18,-2,,,107.1111111,236.8,297.4,514.2958726,817.6
8/31/1955,6,-0.93,-2.25,,-1.27,1.25,3.05,1.44,0.129,16.5,,254.22,26.08,,,,29.6,22.61,-2,,,203.7111111,300.34,350.12,376.7158726,1001
9/30/1955,2,-0.65,-1.95,,-1.46,0.46,2.93,-1.21,0.131,23.5,,176.45,26.07,,,,30.26,21.94,-2,,,147.3111111,221.71,257.39,335.4558726,460.6
10/31/1955,0,-0.33,-2.8,,-1.64,-1.09,3.55,-0.39,0.133,1,,117.84,24.27,,,,29.79,18.8,-2,,,143.2666667,155.96,172.45,258.7958726,329.1
11/30/1955,0,0.62,-3.08,,-1.65,-1.49,4.25,0.62,0.136,0,,45.37,20.12,,,,26.98,13.3,-2,,,23.07777778,11.21,42.5,177.0758726,22.6
12/31/1955,2,-0.32,-2.75,,-1.15,0.07,4.57,0.73,0.136,0,,9.04,17.57,,,,24.49,10.7,-2,,,22.62222222,1.9,3.04,65.15587262,1.4
1/31/1956,12,-0.17,-2.48,,-1.1,-0.76,4.38,-0.74,0.136,0,,22.43,17.38,,,,24.22,10.58,-7,,,25.28888889,15.13,12.07,70.07587262,0
2/28/1956,2,-0.3,-2.74,,-1.14,-1.71,3.56,-0.89,0.136,0,,6.98,19.27,,,,26.92,11.67,-7,,,9.1,6.4,17.35,68.43587262,0.55
3/31/1956,0,-0.61,-2.56,,-0.98,-0.46,2.5,0.33,0.137,0,,20.38,24.37,,,,31.71,17.09,-7,,,31.35555556,24.43,34.6,92.37587262,0.5
4/30/1956,14,-1.43,-2.17,,-0.95,-1.3,2.02,-0.08,0.139,0,,26.76,28.46,,,,35.62,21.34,-7,,,27.03333333,18.32,22.03,180.0558726,42.1
5/31/1956,4,-1.53,-1.41,,-1.04,2.1,0.16,0.61,0.139,0,,46.31,30.65,,,,37.13,24.23,-7,,,21.53333333,54.42,141.03,409.2358726,294.55
6/30/1956,0,-2.49,-1.7,,-1.06,0.41,-1.4,-1.47,0.138,0,,144.47,28.31,,,,33.18,23.49,-7,,,74.64444444,164.63,310.34,561.4958726,890.6
7/31/1956,0,-1.86,-1.03,,-1.13,-0.72,-0.47,1.13,0.135,0.5,,262.97,26.09,,,,29.93,22.3,-7,,,244.2222222,343.75,390.72,419.1158726,1240.8
8/31/1956,4,-1.5,-1.16,,-1.06,-1.89,-0.25,-0.16,0.132,8.5,,248.57,26.04,,,,29.62,22.5,-7,,,165.7444444,219.94,321.34,380.9558726,610.4
9/30/1956,2,-1.97,-0.71,,-0.56,0.38,-0.67,2.61,0.13,1.5,,109.6,26.12,,,,30.52,21.76,-7,,,82.74444444,180.63,228,241.8558726,350.5
10/31/1956,0,-1.05,-2.3,,-1.3,1.47,0.05,0.53,0.128,0,,61.07,24.07,,,,29.81,18.38,-7,,,150.7444444,173.69,150.21,285.1558726,241.75
11/30/1956,0,-1.65,-2.11,,-0.56,0.4,0.39,-1.51,0.126,2.5,,26.51,20.39,,,,27.04,13.78,-7,,,46.52222222,50,30.37,133.0758726,87.95
12/31/1956,2,-0.23,-1.28,,-0.7,0,0.74,0.38,0.127,0,,9.72,17.89,,,,24.71,11.11,-7,,,16.84444444,11.51,9.1,68.29587262,0.35
1/31/1957,4,-0.17,-1.82,,-0.44,0.71,-1.03,0.69,0.126,0,,10.9,17.35,,,,23.93,10.8,-1,,,47.28888889,33.15,40.19,89.55587262,0
2/28/1957,3,-0.26,-0.68,,0.04,-0.32,-2.24,-1.73,0.126,0,,9.42,18.6,,,,25.83,11.42,-1,,,17.86666667,5.33,17.04,65.27587262,0
3/31/1957,0,0.12,0.03,,0.24,-1.73,-1.54,0.45,0.126,0,,12.11,22.76,,,,30,15.57,-1,,,25.81111111,25,37.93,64.91587262,0.75
4/30/1957,7,0.19,-0.58,,0.43,0.39,-2.32,-0.48,0.125,0,,34,27.22,,,,34.32,20.17,-1,,,32.61111111,25.02,29.47,96.54,5.1
5/31/1957,2,0.64,0.57,,1.1,-0.68,-1.4,-1.42,0.123,0,,49.45,29.62,,,,36.25,23.03,-1,,,41.51111111,44.64,67,317.88,99.3
6/30/1957,1,1.35,1.76,,0.68,-0.42,-0.44,2.45,0.121,2.25,,95.18,29.53,,,,34.85,24.25,-1,,,63.02222222,125.63,179.52,619.64,674.8
7/31/1957,0,1.63,0.72,,0.65,-1.16,0.05,-0.54,0.118,0,,296.11,27.16,,,,30.98,23.38,-1,,,153.0888889,257.43,357.33,685.74,1138.05
8/31/1957,3,2.42,0.51,,1.08,-0.83,1,-1.81,0.114,0,,283.94,26.52,,,,30.17,22.91,-1,,,141.9111111,256.49,324.52,444.94,877.8
9/30/1957,0,3.15,1.59,,0.94,-1.47,1.34,-1.79,0.111,18.75,,188.84,26.2,,,,30.76,21.69,-1,,,90.26666667,117.96,189.26,263.7,114.3
10/31/1957,1,2.64,1.5,,0.5,1.95,1.62,0.57,0.109,0,,88.83,24.87,,,,30.75,19.03,-1,,,70.67777778,63.88,60.2,180,137.8
11/30/1957,0,1.6,-0.32,,1.2,0.63,0.56,1.15,0.106,0,,35.69,21.48,,,,28.34,14.68,-1,,,47.18888889,20.14,22.18,63.62,100.9
12/31/1957,1,0.34,-0.55,,0.86,0.02,0.1,0.46,0.105,0,,7.6,18.55,,,,25.41,11.74,-1,,,23.83333333,12.46,9.81,31.18,0.35
1/31/1958,12,0.12,0.25,,1.67,-1.14,1.41,-0.21,0.104,0,,19.56,18.64,,,,25.63,11.7,-4,,,8.866666667,13.4,12.78,30.52,0.35
2/28/1958,0,0.19,0.62,,1.25,-1.64,4.02,-0.14,0.103,0,,11.04,19.97,,,,27.15,12.84,-4,,,11.74444444,3.7,27.26,32.56,0.1
3/31/1958,0,1.82,0.25,,0.87,-2.46,7.13,2.15,0.103,0,,12.39,24.59,,,,32.15,17.08,-4,,,19.03333333,12.8,16.39,29.14,0.95
4/30/1958,12,1.54,1.06,,0.35,0.26,8.23,0.38,0.102,0,,32.67,28.97,,,,36.05,21.93,-4,,,26.96666667,24.57,25.73,122.24,27.8
5/31/1958,5,2.42,1.28,,1.16,-0.17,7.87,-0.24,0.099,0,,66.22,30.52,,,,37.06,24.04,-4,,,39.98888889,31.96,68.42,444.36,109.8
6/30/1958,0,5.75,1.33,,0.46,-1.08,7.32,0.38,0.096,0,,175.22,30.71,,,,36.2,25.26,-4,,,33.32222222,89.63,128.72,527.24,1037.95
7/31/1958,0,2.94,0.89,,0.1,-1.69,5.03,2.08,0.093,0,,307.37,27.14,,,,30.88,23.45,-4,,,167.0666667,323.45,352,476.5,1266.95
8/31/1958,5,3.55,1.06,,-0.13,-2.13,3.87,-0.81,0.09,11,,249.83,26.66,,,,30.3,23.07,-4,,,172.8777778,309.76,301.43,804.92,941.85
9/30/1958,2,2.82,0.29,,0.05,0.08,3.66,3.31,0.086,10.75,,211.26,26.12,,,,30.28,22.02,-4,,,189.3222222,190.13,250.68,354.76,340.3
10/31/1958,0,1.76,0.01,,0.26,0.68,1.95,0.55,0.083,5,,103.06,24.74,,,,30.38,19.15,-4,,,77.06666667,113.43,125.71,296.72,84.45
11/30/1958,0,1.18,-0.18,,0.36,1.59,1.51,0.56,0.081,0,,23.58,21.47,,,,28.15,14.84,-4,,,35.1,32.54,19.67,105.76,31.9
12/31/1958,2,0.17,0.86,,0.59,-0.74,1.03,-0.08,0.079,0,,4.59,18.53,,,,25.29,11.82,-4,,,23.66666667,17.66,9.2,23.42,1.5
1/31/1959,10,0.19,0.69,,0.68,-1.52,1.87,-0.87,0.076,0,,11.82,17.65,,,,24.5,10.83,-4,,,26.34444444,28.74,35.42,45.38,0
2/28/1959,4,0.38,-0.43,,1.07,0.33,1.81,2.2,0.074,0,,2.86,19.42,,,,26.63,12.27,-4,,,21.87777778,26.25,20.01,42.48,0
3/31/1959,2,0.98,-0.95,,-0.09,-0.56,-0.37,0.39,0.074,0,,22.32,24.51,,,,32.26,16.81,-4,,,15.06666667,10.95,24.15,63.26,0
4/30/1959,16,0.83,-0.02,,0.2,0.25,-1.04,-0.07,0.072,0,,17.26,28.28,,,,35.37,21.24,-4,,,15.95555556,14.28,24.13,127.9,18.2
5/31/1959,3,0.16,0.23,,0.08,0.41,-0.81,-0.12,0.072,0,,47.36,30.3,,,,36.8,23.85,-4,,,31.86666667,33.08,89.83,389.28,120.3
6/30/1959,3,-0.07,0.44,,0.13,0.71,-0.87,0.82,0.071,0.5,,133.2,29.49,,,,34.61,24.41,-4,,,57.38888889,131.01,195.33,644.98,872.25
7/31/1959,0,1.18,-0.5,,0.17,0.77,-0.34,0.57,0.069,1.75,,287.37,26.69,,,,30.48,22.95,-4,,,213.6666667,341.71,375.9,802.66,1542.05
8/31/1959,6,-0.48,-0.62,,0.03,-0.05,-0.45,1.03,0.068,0,,217.8,26.28,,,,29.88,22.72,-4,,,143.3888889,250.36,350.02,337.48,697.5
9/30/1959,1,1.19,-0.85,,-0.26,1,-0.24,3.68,0.066,6,,155.38,26.02,,,,30.17,21.91,-4,,,141.3444444,203.38,319.79,425.72,521.7
10/31/1959,2,0.21,0.52,,-0.08,1.48,-0.71,1.84,0.064,8,,60.25,25.01,,,,30.42,19.65,-4,,,64.13333333,114.19,167.98,285.36,138.35
11/30/1959,0,0.23,1.11,,-0.5,0.3,-0.74,-0.88,0.063,0,,33.8,20.87,,,,27.62,14.18,-4,,,46.86666667,17.61,13.38,83.14,38.4
12/31/1959,3,-0.16,0.06,,-0.34,0.32,-0.86,-1.02,0.062,0,,5.7,18.18,,,,25.27,11.13,-4,,,9.655555556,1.55,3.73,32.56,11
1/31/1960,11,-0.16,0.3,,0.07,-2.01,0.26,0.06,0.061,0,,20.72,17.14,,120581.961,,24.23,10.1,-2,,,10.17777778,10.69,25.1,24.36,0
2/28/1960,4,-0.21,0.52,,-0.02,-2.59,1.65,0.15,0.059,0,,21.8,20.96,,120581.961,,28.77,13.18,-2,,,2.211111111,0.11,5.1,25.04,0
3/31/1960,0,-0.63,-0.21,,-0.21,-0.93,1.44,3.27,0.058,0,,8.87,23.19,,120581.961,,30.44,15.99,-2,,,31.18888889,31.48,35.95,40.08,4.25
4/30/1960,15,-0.79,0.09,,-0.19,1.33,2,-0.6,0.056,0,,21.59,27.7,,120581.961,,34.93,20.52,-2,,,15.8,12.94,19.28,89.58,20.9
5/31/1960,3,1.13,0.91,,0.07,0.47,2.44,-1.3,0.055,0,,62.42,30.26,,120581.961,,36.99,23.58,-2,,,25.54444444,33.32,93.93,378.9,237.35
6/30/1960,2,0.2,0.64,,0.07,0.1,2.54,0.02,0.052,0,,189.45,29.63,,120581.961,,34.95,24.36,-2,,,54.56666667,128.71,176.95,507.54,855.35
7/31/1960,0,0.91,-0.27,,-0.25,0.38,1.65,0.86,0.049,0.5,,281.98,27.07,,120581.961,,30.94,23.25,-2,,,177.5666667,252,355.97,734.86,1097.05
8/31/1960,5,1.45,-0.38,,-0.22,-1.93,1.08,1.58,0.045,1.75,,272.97,26.54,,120581.961,,30.11,23.02,-2,,,153.2666667,187.59,361.71,319.04,506.15
